Sector,Total till 30APR25
Other Service Activities (including Placement and Employment Agencies),5544667
Agriculture and Forestry And Fishing,336552
Mining And Quarrying,39995
Manufacturing,2002431
Electricity and Gas and Steam And Air Conditioning Supply,134514
Water Supply; Sewerage and Waste Management And Remediation Activities,26063
Construction,2178222
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,583681
Transportation And Storage,8212669
Accommodation And Food Service Activities,374476
Information And Communication,2998009
Financial And Insurance Activities,17822667
Real Estate Activities,72003
Professional and Scientific And Technical Activities,733701
Administrative And Support Service Activities,11175898
Public Administration And Defence; Compulsory Social Security,610215
Education,920998
Human Health And Social Work Activities,404012
Arts and Entertainment And Recreation,62773
Activities Of Households As Employers; Undifferentiated Goods- And Services Producing Activities Of Households For Own Use,74591
Activities Of Extraterritorial Organizations And Bodies,100677
Sector Not Specified,970835
Total,55379549
